                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.3517,                 1.2772,                 1.4147,                0.56644,                0.29082,                0.28433,                 0.1492,                  1.466,                 1.3875,                 1.4578,               0.006634,               0.006634,               0.006634
                     36,                 1.3506,                 1.2589,                 1.4035,                0.56777,                0.29074,                  0.283,                0.15212,                  1.463,                 1.4031,                 1.4647,               0.006535,               0.006535,               0.006535
                     37,                 1.3446,                 1.2419,                 1.3986,                0.41709,                0.28404,                 0.2876,                0.15583,                 1.4569,                 1.3718,                 1.4487,               0.006436,               0.006436,               0.006436
                     38,                 1.3488,                 1.2462,                 1.3953,                0.59012,                0.29117,                0.30112,                0.16208,                 1.4412,                  1.355,                 1.4436,               0.006337,               0.006337,               0.006337
                     39,                 1.3354,                 1.2252,                 1.3902,                0.57976,                0.28903,                 0.2919,                0.15763,                 1.4471,                  1.375,                 1.4427,               0.006238,               0.006238,               0.006238
                     40,                 1.3254,                 1.2373,                 1.3915,                0.59407,                0.28719,                0.29447,                0.16013,                 1.4377,                 1.3617,                 1.4398,               0.006139,               0.006139,               0.006139
                     41,                 1.3209,                 1.2269,                 1.3873,                0.40581,                0.28801,                0.29051,                0.15791,                 1.4478,                 1.3731,                 1.4472,                0.00604,                0.00604,                0.00604
                     42,                 1.3221,                 1.2199,                 1.3854,                0.43771,                0.28901,                0.30202,                0.16235,                 1.4434,                 1.3732,                 1.4375,               0.005941,               0.005941,               0.005941
                     43,                 1.3155,                 1.2159,                 1.3844,                0.59291,                0.29156,                0.30693,                0.16587,                 1.4384,                 1.3717,                 1.4401,               0.005842,               0.005842,               0.005842
                     44,                 1.3141,                 1.2111,                 1.3777,                0.60167,                0.29355,                0.31153,                0.16997,                 1.4361,                 1.3213,                  1.436,               0.005743,               0.005743,               0.005743
                     45,                    1.3,                 1.1985,                  1.369,                0.58659,                 0.2994,                0.31798,                0.17073,                 1.4323,                 1.3246,                 1.4272,               0.005644,               0.005644,               0.005644
                     46,                 1.2977,                 1.2036,                 1.3704,                0.59767,                0.29576,                 0.3109,                0.16922,                 1.4177,                 1.3115,                 1.4283,               0.005545,               0.005545,               0.005545
                     47,                 1.3037,                 1.2197,                 1.3777,                0.59668,                0.29791,                0.30877,                0.16846,                 1.4135,                 1.3195,                 1.4183,               0.005446,               0.005446,               0.005446
                     48,                 1.2958,                 1.2078,                 1.3761,                0.58571,                0.29617,                0.30561,                0.16638,                  1.427,                 1.3285,                 1.4205,               0.005347,               0.005347,               0.005347
                     49,                 1.2961,                  1.206,                  1.369,                0.61249,                0.29609,                0.32093,                0.17512,                 1.4158,                 1.3083,                 1.4175,               0.005248,               0.005248,               0.005248
                     50,                 1.2922,                 1.1898,                  1.365,                0.61271,                0.29219,                0.31315,                 0.1735,                 1.4136,                 1.3008,                 1.4185,               0.005149,               0.005149,               0.005149
                     51,                 1.2887,                 1.1707,                 1.3601,                0.59258,                0.29961,                0.32099,                0.17678,                 1.4003,                 1.2966,                 1.4122,                0.00505,                0.00505,                0.00505
                     52,                 1.2816,                 1.1757,                 1.3592,                0.58879,                0.30336,                0.31941,                0.17654,                 1.4017,                 1.2978,                 1.4104,               0.004951,               0.004951,               0.004951
                     53,                 1.2849,                 1.1849,                 1.3615,                0.61183,                0.30356,                0.32551,                0.17948,                 1.4021,                 1.3075,                 1.4061,               0.004852,               0.004852,               0.004852
                     54,                 1.2738,                 1.1764,                 1.3581,                0.60392,                0.30207,                0.32529,                0.17963,                 1.4007,                 1.2951,                 1.4092,               0.004753,               0.004753,               0.004753
                     55,                 1.2707,                 1.1633,                  1.349,                0.60368,                0.30798,                0.32557,                0.17746,                 1.4039,                 1.3008,                 1.4066,               0.004654,               0.004654,               0.004654
                     56,                 1.2659,                 1.1589,                  1.355,                0.60134,                0.30297,                0.32823,                0.18111,                 1.3996,                 1.2908,                 1.4086,               0.004555,               0.004555,               0.004555
                     57,                 1.2636,                 1.1547,                 1.3483,                0.60551,                0.30237,                0.33177,                0.18117,                 1.3976,                 1.2894,                 1.4033,               0.004456,               0.004456,               0.004456
                     58,                 1.2629,                 1.1381,                 1.3434,                 0.6133,                0.30385,                0.32862,                0.18038,                 1.3984,                  1.291,                 1.4006,               0.004357,               0.004357,               0.004357
                     59,                 1.2615,                 1.1366,                 1.3379,                0.58548,                0.31635,                 0.3295,                0.18071,                 1.3881,                 1.2833,                 1.3946,               0.004258,               0.004258,               0.004258
                     60,                 1.2515,                 1.1262,                 1.3362,                0.61046,                0.29974,                0.32541,                0.17926,                 1.3848,                 1.2767,                 1.3975,               0.004159,               0.004159,               0.004159
                     61,                 1.2521,                  1.149,                 1.3438,                0.61623,                0.30673,                0.32782,                0.18074,                 1.3951,                 1.2755,                 1.4034,                0.00406,                0.00406,                0.00406
                     62,                 1.2543,                  1.131,                 1.3419,                0.59166,                0.31478,                0.33756,                0.18621,                 1.3824,                 1.2674,                 1.3916,               0.003961,               0.003961,               0.003961
                     63,                 1.2486,                 1.1498,                 1.3477,                0.37961,                0.33663,                0.33996,                0.18484,                 1.3847,                  1.254,                 1.3879,               0.003862,               0.003862,               0.003862
                     64,                 1.2471,                 1.1305,                 1.3343,                0.62219,                0.30668,                 0.3312,                0.17977,                 1.3834,                 1.2845,                 1.3948,               0.003763,               0.003763,               0.003763
                     65,                  1.235,                 1.1133,                 1.3269,                0.60925,                0.30986,                0.33007,                0.18357,                 1.3837,                 1.2711,                 1.3939,               0.003664,               0.003664,               0.003664
                     66,                 1.2401,                 1.1148,                 1.3294,                0.62624,                0.30866,                0.33214,                0.18232,                 1.3831,                 1.2582,                 1.3927,               0.003565,               0.003565,               0.003565
                     67,                 1.2387,                 1.1082,                 1.3223,                0.43837,                0.30317,                0.33315,                 0.1817,                 1.3924,                 1.2707,                 1.3976,               0.003466,               0.003466,               0.003466
                     68,                 1.2356,                 1.1162,                 1.3271,                0.61443,                0.30531,                0.34045,                0.18525,                 1.3763,                 1.2591,                 1.3893,               0.003367,               0.003367,               0.003367
                     69,                 1.2316,                 1.1194,                 1.3296,                0.63107,                0.30717,                0.33711,                0.18668,                 1.3742,                 1.2543,                 1.3869,               0.003268,               0.003268,               0.003268
                     70,                 1.2273,                 1.0972,                 1.3193,                0.62967,                0.29917,                0.33247,                0.18467,                 1.3719,                 1.2582,                 1.3864,               0.003169,               0.003169,               0.003169
                     71,                 1.2302,                  1.104,                 1.3287,                0.42342,                 0.3249,                  0.339,                0.18596,                 1.3683,                 1.2573,                 1.3854,                0.00307,                0.00307,                0.00307
                     72,                 1.2293,                 1.1047,                 1.3286,                0.63258,                0.30786,                 0.3399,                0.18795,                 1.3673,                 1.2641,                 1.3858,               0.002971,               0.002971,               0.002971
                     73,                 1.2264,                 1.0911,                 1.3172,                0.61391,                0.30862,                0.34106,                0.18685,                 1.3674,                 1.2485,                 1.3805,               0.002872,               0.002872,               0.002872
                     74,                 1.2244,                 1.0988,                  1.322,                0.45088,                0.30366,                0.32985,                0.18251,                 1.3672,                 1.2555,                 1.3785,               0.002773,               0.002773,               0.002773
                     75,                 1.2256,                 1.0934,                 1.3187,                0.42798,                0.34201,                0.34158,                0.18845,                 1.3658,                 1.2543,                 1.3805,               0.002674,               0.002674,               0.002674
                     76,                 1.2209,                 1.0825,                 1.3158,                0.48003,                0.31909,                0.34237,                0.18656,                 1.3647,                 1.2567,                 1.3756,               0.002575,               0.002575,               0.002575
                     77,                  1.204,                 1.0619,                 1.3042,                0.60341,                0.31827,                0.34304,                 0.1877,                 1.3738,                 1.2532,                 1.3842,               0.002476,               0.002476,               0.002476
                     78,                 1.2232,                 1.0755,                 1.3144,                0.59398,                0.32613,                0.33682,                0.18604,                 1.3731,                 1.2601,                 1.3813,               0.002377,               0.002377,               0.002377
                     79,                 1.2002,                 1.0548,                 1.2952,                 0.6131,                0.31768,                0.33769,                0.18608,                 1.3661,                 1.2504,                 1.3742,               0.002278,               0.002278,               0.002278
                     80,                 1.2056,                 1.0604,                 1.3063,                0.64212,                0.30511,                0.34302,                0.18973,                 1.3597,                 1.2394,                 1.3733,               0.002179,               0.002179,               0.002179
                     81,                 1.2044,                 1.0617,                 1.3054,                0.61505,                0.32057,                0.34404,                0.19059,                 1.3582,                 1.2319,                 1.3731,                0.00208,                0.00208,                0.00208
                     82,                 1.1957,                 1.0417,                 1.2931,                0.48336,                0.32027,                0.34002,                0.18909,                 1.3578,                 1.2399,                 1.3736,               0.001981,               0.001981,               0.001981
                     83,                 1.1974,                 1.0613,                 1.3053,                0.52241,                0.33428,                0.33796,                0.18686,                 1.3582,                 1.2504,                 1.3708,               0.001882,               0.001882,               0.001882
                     84,                 1.1952,                 1.0535,                 1.2997,                0.45234,                0.31534,                0.33449,                0.18666,                 1.3588,                 1.2674,                 1.3766,               0.001783,               0.001783,               0.001783
                     85,                 1.1924,                 1.0326,                 1.2924,                0.61171,                0.31553,                0.34064,                0.19019,                 1.3664,                 1.2748,                 1.3772,               0.001684,               0.001684,               0.001684
                     86,                 1.1902,                 1.0429,                 1.2964,                0.51234,                0.31896,                0.33922,                0.18764,                 1.3618,                 1.2588,                 1.3747,               0.001585,               0.001585,               0.001585
                     87,                 1.1884,                 1.0309,                 1.2939,                0.53063,                0.32382,                 0.3438,                0.19236,                 1.3562,                  1.247,                 1.3748,               0.001486,               0.001486,               0.001486
