                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.3365,                 1.2617,                 1.3979,                0.57495,                0.29921,                0.29444,                 0.1589,                 1.4505,                 1.3715,                 1.4514,               0.006634,               0.006634,               0.006634
                     36,                 1.3333,                 1.2415,                 1.3845,                 0.4095,                0.30535,                0.28177,                0.15387,                   1.46,                  1.414,                 1.4567,               0.006535,               0.006535,               0.006535
                     37,                 1.3308,                 1.2274,                 1.3795,                0.58848,                 0.2967,                0.29861,                 0.1642,                 1.4423,                 1.3563,                 1.4331,               0.006436,               0.006436,               0.006436
                     38,                 1.3296,                 1.2325,                 1.3782,                0.59671,                0.28847,                0.31085,                   0.17,                  1.427,                 1.3368,                 1.4376,               0.006337,               0.006337,               0.006337
                     39,                 1.3173,                 1.2121,                 1.3731,                0.43114,                0.29334,                0.30922,                0.16826,                 1.4278,                 1.3389,                 1.4301,               0.006238,               0.006238,               0.006238
                     40,                 1.3054,                   1.22,                 1.3701,                0.58869,                0.30101,                0.30536,                0.16753,                 1.4354,                 1.3241,                 1.4369,               0.006139,               0.006139,               0.006139
                     41,                 1.3054,                 1.2075,                 1.3697,                0.41573,                0.32895,                0.30484,                0.16661,                 1.4356,                 1.3779,                 1.4376,                0.00604,                0.00604,                0.00604
                     42,                 1.3072,                 1.2057,                 1.3708,                0.46778,                0.33106,                0.32778,                0.17556,                 1.4202,                 1.3489,                 1.4245,               0.005941,               0.005941,               0.005941
                     43,                 1.2978,                 1.2023,                 1.3678,                0.42884,                0.32641,                 0.3162,                0.17162,                 1.4261,                 1.3701,                 1.4272,               0.005842,               0.005842,               0.005842
                     44,                 1.3023,                 1.2005,                 1.3639,                0.62242,                 0.2932,                0.31158,                0.17042,                 1.4261,                 1.3255,                 1.4326,               0.005743,               0.005743,               0.005743
                     45,                 1.2833,                 1.1842,                 1.3518,                0.59745,                0.30314,                0.33068,                0.18051,                 1.4172,                 1.3028,                 1.4142,               0.005644,               0.005644,               0.005644
                     46,                 1.2815,                 1.1895,                 1.3533,                 0.6085,                0.30148,                0.31835,                 0.1754,                 1.4167,                 1.3256,                 1.4213,               0.005545,               0.005545,               0.005545
                     47,                 1.2857,                 1.2033,                 1.3603,                0.59359,                0.31057,                0.31921,                0.17367,                 1.4183,                 1.3192,                 1.4212,               0.005446,               0.005446,               0.005446
