                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                 1.2287,                0.98595,                 1.3393,                0.65978,                0.59353,                0.64156,                0.42209,                 1.1861,                 0.8823,                 1.3406,               0.006535,               0.006535,               0.006535
                     37,                 1.2132,                 0.9786,                 1.3351,                 0.7172,                0.59004,                0.65093,                 0.4218,                 1.1988,                0.89276,                 1.3474,               0.006436,               0.006436,               0.006436
                     38,                 1.2183,                0.96541,                 1.3243,                0.65647,                0.59294,                 0.6363,                0.42065,                 1.1687,                0.88418,                 1.3282,               0.006337,               0.006337,               0.006337
                     39,                 1.2132,                0.94828,                 1.3254,                0.70166,                0.60589,                0.66507,                0.43845,                 1.1572,                0.86801,                 1.3252,               0.006238,               0.006238,               0.006238
                     40,                 1.2033,                0.95944,                  1.325,                0.62657,                 0.6215,                 0.6494,                0.42095,                 1.1799,                0.88476,                 1.3334,               0.006139,               0.006139,               0.006139
                     41,                 1.2001,                0.94559,                 1.3196,                0.68952,                0.61166,                0.65317,                0.43025,                 1.1747,                0.86868,                 1.3261,                0.00604,                0.00604,                0.00604
                     42,                 1.2037,                0.93014,                 1.3125,                0.69279,                0.59805,                0.64118,                0.42462,                 1.1422,                 0.8798,                 1.3078,               0.005941,               0.005941,               0.005941
                     43,                 1.1936,                0.93288,                 1.3087,                0.72032,                0.59161,                0.67321,                0.44667,                 1.1467,                0.85526,                 1.3112,               0.005842,               0.005842,               0.005842
                     44,                 1.1828,                0.91855,                 1.3068,                0.73057,                0.58898,                0.67576,                0.44616,                 1.1596,                0.85689,                 1.3146,               0.005743,               0.005743,               0.005743
                     45,                 1.1813,                0.91656,                 1.3095,                0.72524,                0.60509,                0.68475,                0.45398,                 1.1465,                0.84105,                 1.3073,               0.005644,               0.005644,               0.005644
                     46,                  1.188,                0.92916,                 1.3086,                0.70738,                0.61013,                0.67078,                0.44729,                 1.1295,                0.83973,                 1.2979,               0.005545,               0.005545,               0.005545
                     47,                 1.1665,                0.90963,                 1.2972,                0.70865,                0.62408,                0.67266,                0.44785,                 1.1465,                 0.8436,                 1.3078,               0.005446,               0.005446,               0.005446
                     48,                  1.169,                0.90453,                 1.2893,                0.73695,                0.60144,                0.66614,                0.43686,                 1.1548,                0.84303,                 1.3083,               0.005347,               0.005347,               0.005347
                     49,                 1.1629,                0.90107,                 1.2919,                0.69867,                0.63729,                0.67611,                0.44613,                 1.1615,                0.84143,                 1.3129,               0.005248,               0.005248,               0.005248
                     50,                 1.1654,                0.90299,                 1.2958,                0.70072,                0.60919,                0.67144,                0.44394,                 1.1359,                0.82653,                 1.3024,               0.005149,               0.005149,               0.005149
                     51,                 1.1597,                0.88221,                  1.283,                0.72995,                 0.6308,                0.69002,                0.45465,                  1.141,                0.82768,                 1.3035,                0.00505,                0.00505,                0.00505
                     52,                 1.1512,                0.88663,                  1.291,                0.70709,                0.65706,                0.69791,                0.46565,                 1.1264,                0.81754,                 1.2921,               0.004951,               0.004951,               0.004951
                     53,                 1.1561,                0.88281,                 1.2861,                0.69342,                0.65503,                0.68681,                0.45335,                 1.1385,                0.82657,                 1.2965,               0.004852,               0.004852,               0.004852
                     54,                 1.1519,                0.88292,                 1.2924,                0.74257,                0.63648,                0.70283,                0.46532,                 1.1395,                  0.828,                 1.2975,               0.004753,               0.004753,               0.004753
                     55,                 1.1413,                0.87147,                 1.2799,                0.71727,                0.63533,                0.69132,                0.46113,                 1.1267,                0.80951,                 1.2936,               0.004654,               0.004654,               0.004654
                     56,                 1.1431,                0.85882,                 1.2669,                0.72387,                0.64453,                0.69076,                0.46233,                  1.125,                 0.8289,                 1.2846,               0.004555,               0.004555,               0.004555
                     57,                 1.1409,                0.86199,                 1.2789,                0.71932,                0.64364,                  0.699,                0.46974,                 1.1213,                0.80535,                 1.2877,               0.004456,               0.004456,               0.004456
                     58,                 1.1427,                0.86422,                 1.2693,                0.74479,                 0.6165,                0.69976,                0.46933,                 1.1196,                0.80304,                 1.2875,               0.004357,               0.004357,               0.004357
                     59,                 1.1353,                0.85871,                 1.2753,                0.73135,                0.64225,                0.69605,                0.46919,                 1.1124,                0.80125,                  1.281,               0.004258,               0.004258,               0.004258
                     60,                 1.1258,                0.84366,                 1.2657,                0.71238,                0.63863,                0.70199,                0.47265,                  1.118,                 0.8025,                  1.283,               0.004159,               0.004159,               0.004159
                     61,                 1.1303,                 0.8468,                 1.2679,                 0.7421,                0.63869,                0.69837,                0.46563,                 1.1241,                0.81919,                 1.2864,                0.00406,                0.00406,                0.00406
                     62,                 1.1308,                0.85787,                  1.262,                0.75057,                0.63341,                0.70499,                0.47514,                 1.1118,                0.79527,                 1.2783,               0.003961,               0.003961,               0.003961
                     63,                 1.1269,                 0.8399,                 1.2576,                0.71644,                0.65084,                0.69732,                0.47221,                 1.1063,                0.79405,                 1.2758,               0.003862,               0.003862,               0.003862
                     64,                 1.1103,                0.83483,                 1.2556,                0.74764,                 0.6482,                0.71345,                0.47909,                 1.1121,                0.78915,                 1.2817,               0.003763,               0.003763,               0.003763
                     65,                 1.1071,                0.82919,                 1.2533,                0.75289,                0.63678,                0.71127,                0.47824,                 1.1058,                0.78248,                 1.2733,               0.003664,               0.003664,               0.003664
                     66,                 1.1115,                0.83392,                 1.2569,                0.69385,                  0.686,                0.71375,                0.47942,                 1.1057,                0.78558,                  1.274,               0.003565,               0.003565,               0.003565
                     67,                 1.1061,                0.82092,                 1.2495,                0.70847,                0.65242,                0.69828,                0.47498,                 1.1072,                0.79267,                 1.2729,               0.003466,               0.003466,               0.003466
                     68,                 1.1045,                0.82282,                 1.2532,                0.70377,                0.64686,                0.70596,                0.47904,                  1.091,                0.78365,                 1.2682,               0.003367,               0.003367,               0.003367
                     69,                  1.098,                0.81381,                 1.2429,                0.73023,                   0.66,                0.70686,                0.47787,                  1.102,                0.78006,                 1.2688,               0.003268,               0.003268,               0.003268
                     70,                 1.0903,                0.80366,                 1.2307,                0.73048,                0.65473,                 0.7209,                0.48803,                 1.0972,                0.77026,                 1.2681,               0.003169,               0.003169,               0.003169
                     71,                 1.1003,                0.80979,                 1.2424,                0.70036,                0.67837,                0.71531,                0.48304,                 1.0834,                0.77901,                 1.2589,                0.00307,                0.00307,                0.00307
                     72,                 1.0954,                0.80741,                 1.2406,                0.76689,                0.64185,                0.71657,                0.48423,                  1.092,                0.77799,                 1.2629,               0.002971,               0.002971,               0.002971
                     73,                 1.0885,                0.80507,                 1.2322,                0.72404,                0.66686,                0.72895,                0.49076,                 1.0987,                0.77009,                 1.2634,               0.002872,               0.002872,               0.002872
                     74,                 1.0901,                0.81098,                  1.241,                0.73372,                0.65252,                 0.7165,                0.48464,                 1.0981,                 0.7698,                 1.2665,               0.002773,               0.002773,               0.002773
                     75,                 1.0813,                0.79505,                 1.2322,                0.72697,                0.66601,                0.72371,                0.48772,                  1.102,                0.77248,                 1.2653,               0.002674,               0.002674,               0.002674
                     76,                 1.0766,                0.79747,                 1.2363,                0.70719,                0.69178,                0.72047,                0.48773,                 1.0918,                 0.7687,                 1.2597,               0.002575,               0.002575,               0.002575
                     77,                 1.0881,                0.79819,                 1.2322,                 0.7521,                0.65386,                 0.7277,                0.49138,                  1.094,                0.76339,                 1.2621,               0.002476,               0.002476,               0.002476
                     78,                 1.0769,                 0.7843,                 1.2287,                 0.7108,                0.67742,                0.71766,                 0.4833,                 1.0998,                0.77018,                 1.2638,               0.002377,               0.002377,               0.002377
                     79,                 1.0698,                0.78827,                   1.23,                0.71615,                0.67309,                0.71637,                0.48585,                 1.0863,                0.77101,                 1.2579,               0.002278,               0.002278,               0.002278
                     80,                 1.0794,                0.78307,                 1.2239,                0.74356,                0.65936,                0.72012,                0.48616,                 1.0917,                0.77047,                 1.2574,               0.002179,               0.002179,               0.002179
                     81,                 1.0748,                0.78791,                 1.2287,                0.72257,                0.67849,                0.72719,                0.49151,                 1.0898,                0.76201,                  1.255,                0.00208,                0.00208,                0.00208
                     82,                 1.0645,                0.77241,                 1.2194,                0.72628,                0.66407,                0.72578,                0.49628,                 1.0837,                0.75527,                 1.2566,               0.001981,               0.001981,               0.001981
                     83,                 1.0605,                0.77444,                 1.2205,                0.72783,                0.65742,                0.71959,                0.48717,                 1.0903,                0.75886,                 1.2554,               0.001882,               0.001882,               0.001882
                     84,                 1.0664,                0.77949,                 1.2284,                0.73962,                0.65266,                0.72507,                0.49664,                 1.0801,                0.75793,                 1.2513,               0.001783,               0.001783,               0.001783
                     85,                 1.0549,                0.76958,                 1.2176,                0.72451,                0.66505,                0.71897,                0.48965,                 1.0957,                0.76353,                 1.2599,               0.001684,               0.001684,               0.001684
                     86,                 1.0628,                0.76844,                 1.2146,                0.75348,                0.66676,                0.73557,                0.50184,                 1.0787,                0.75694,                 1.2496,               0.001585,               0.001585,               0.001585
                     87,                 1.0537,                0.76074,                 1.2143,                0.74483,                0.66129,                0.73252,                0.49901,                 1.0831,                0.76444,                 1.2518,               0.001486,               0.001486,               0.001486
                     88,                 1.0557,                0.76789,                 1.2165,                0.73222,                0.67515,                0.73074,                0.49958,                  1.086,                0.75728,                  1.253,               0.001387,               0.001387,               0.001387
                     89,                 1.0489,                0.76119,                 1.2138,                0.73105,                0.68202,                0.73321,                0.50286,                 1.0737,                0.75071,                 1.2482,               0.001288,               0.001288,               0.001288
                     90,                 1.0436,                0.74558,                 1.1975,                0.73642,                 0.6766,                0.73262,                0.50189,                 1.0848,                0.76048,                 1.2526,               0.001189,               0.001189,               0.001189
                     91,                 1.0054,                0.70958,                 1.2055,                0.73345,                0.69616,                 0.7367,                 0.5018,                 1.0864,                0.76048,                 1.2556,                0.00109,                0.00109,                0.00109
                     92,                0.99722,                0.69176,                  1.192,                0.77093,                0.64721,                0.73161,                0.49884,                 1.0914,                 0.7634,                 1.2572,               0.000991,               0.000991,               0.000991
                     93,                0.99472,                 0.6878,                 1.1898,                0.75982,                0.65582,                0.73176,                0.49892,                 1.0905,                0.75867,                 1.2573,               0.000892,               0.000892,               0.000892
                     94,                0.98963,                0.68666,                 1.1922,                0.71456,                0.69823,                0.73124,                0.49997,                 1.0852,                0.75766,                 1.2557,               0.000793,               0.000793,               0.000793
                     95,                0.98662,                  0.677,                 1.1837,                0.72987,                0.67868,                0.73034,                0.49938,                 1.0847,                0.75192,                 1.2543,               0.000694,               0.000694,               0.000694
                     96,                0.98434,                0.68152,                 1.1847,                0.75404,                0.66381,                 0.7367,                0.50503,                 1.0766,                0.75021,                 1.2496,               0.000595,               0.000595,               0.000595
                     97,                0.98201,                0.67345,                 1.1817,                 0.7221,                0.69179,                0.73728,                0.50336,                 1.0763,                0.75695,                 1.2496,               0.000496,               0.000496,               0.000496
                     98,                0.97478,                0.66898,                 1.1823,                0.73994,                  0.678,                0.73707,                 0.5052,                 1.0723,                0.74963,                 1.2479,               0.000397,               0.000397,               0.000397
                     99,                0.97917,                0.67107,                 1.1816,                0.72485,                0.68351,                 0.7374,                0.50466,                  1.078,                0.75355,                 1.2498,               0.000298,               0.000298,               0.000298
                    100,                0.97052,                0.66231,                 1.1777,                 0.7625,                0.65818,                 0.7385,                0.50542,                 1.0816,                0.75416,                 1.2513,               0.000199,               0.000199,               0.000199
